 name , ra , dec , distance_Mpc
 LV J1952+1428 ,298.0492,14.4733,7.13
 UGC03303 ,81.2479,4.505,7.14
 UGC07639 ,187.4708,47.53,7.14
 HIPASS J0457-42 ,74.2446,-42.8039,7.2
 HIZSS012 ,112.5346,-22.0169,7.2
 VCC1713 ,189.3713,4.7514,7.2
 AGC732602 ,200.27,24.1433,7.2
 UGC1561 ,31.0208,24.2078,7.2
 KK13 ,25.57,26.3678,7.2
 KK15 ,26.6733,26.8014,7.2
 KK14 ,26.1779,27.2878,7.2
 IC1727 ,26.8754,27.3311,7.2
 NGC0672 ,26.9717,27.4336,7.2
 NGC5474 ,211.2587,53.6631,7.2
 KKH87 ,213.7892,57.0875,7.2
 HolmIV ,208.6879,53.9047,7.21
 HIPASS J0705-20 ,106.4375,-20.9917,7.23
 UGC03600 ,103.9167,39.095,7.24
 UGC03698 ,107.3283,44.38,7.24
 NGC4144 ,182.4971,46.4572,7.24
 KDG101 ,184.7879,47.0897,7.24
 IC4870 ,294.4067,-65.8119,7.3
 DDO161 ,195.82,-17.4231,7.3
 UGCA319 ,195.56,-17.2375,7.3
 LV J0935-1348 ,143.84,-13.8144,7.3
 NGC4700 ,192.2817,-11.4114,7.3
 UGC01056 ,22.1967,16.6881,7.3
 BTS151 ,190.8525,32.4822,7.3
 LV J1243+3232 ,190.9358,32.5344,7.3
 NGC4627 ,190.4988,32.5736,7.3
 LV J1241+3251 ,190.4471,32.8578,7.3
 NGC4861 ,194.7583,34.8603,7.3
 UGC09992 ,235.4492,67.2542,7.3
 NGC0628 ,24.1721,15.7867,7.31
 HIZSS014 ,114.0942,-19.4944,7.35
 NGC4600 ,190.0958,3.1178,7.35
 MCG +09-16-010 ,140.8208,51.9731,7.35
 CGCG 095-078 ,164.5092,19.5053,7.37
 LV J1207+3133 ,181.9583,31.5522,7.37
 UGC01171 ,24.9233,15.9031,7.38
 NGC4631 ,190.5333,32.5414,7.38
 MESSIER101 ,210.8033,54.3506,7.38
 HIPASS J0607-34 ,91.8321,-34.2044,7.4
 NGC2188 ,92.5396,-34.1061,7.4
 CGMW2-3473 ,126.3037,-28.1403,7.4
 ESO483-013 ,63.1713,-23.1589,7.4
 VCC2037 ,191.5637,10.2033,7.4
 UGC09660 ,225.2887,44.6981,7.4
 NGC4248 ,184.4579,47.4092,7.4
 UGC03755 ,108.4658,10.5219,7.41
 LV J1354+5438 ,208.7108,54.6472,7.41
 HIZSS008 ,111.3417,-24.4753,7.43
 KKH80 ,187.0225,22.2908,7.43
 MAPS1206+31 ,181.6438,31.3425,7.43
 LV J1342+4840 ,205.5838,48.6825,7.44
 MCG +05-28-046 ,178.8479,28.34,7.45
 KDG192 ,190.9375,53.9589,7.45
 DDO087 ,162.4021,65.5306,7.45
 NGC2787 ,139.8275,69.2033,7.48
 LV J1203+4739 ,180.75,47.6542,7.49
 VCC1675 ,189.1458,8.0547,7.5
 ESO565-003 ,140.7912,-20.1675,7.52
 UGC01104 ,23.1762,18.3158,7.55
 LV J1203+3257 ,180.7954,32.9561,7.55
 LV J1028+4240 ,157.1375,42.6689,7.55
 ESO364-029 ,91.4392,-33.0817,7.59
 ESO347-017 ,351.7337,-37.3469,7.6
 IC3583 ,189.1813,13.2594,7.6
 KDG105 ,185.4292,37.9872,7.6
 KK55 ,99.8871,-40.7203,7.65
 NGC5195 ,202.4946,47.2681,7.66
 ESO409-015 ,1.3825,-28.0981,7.7
 KKSG29 ,189.3088,-10.4975,7.7
 IC3023 ,182.5071,14.3669,7.7
 KK70 ,133.8417,33.5592,7.7
 KK69 ,133.2113,33.7978,7.7
 NGC5477 ,211.3879,54.4608,7.7
 DDO088 ,161.8429,14.0703,7.73
 UGC04115 ,119.2575,14.3908,7.73
 NGC2683 ,133.1704,33.4172,7.73
 MCG +08-25-028 ,204.1867,44.5992,7.74
 KK141 ,185.7196,33.8286,7.78
 ESO238-005 ,335.6254,-48.405,7.8
 NGC7713 ,354.0625,-37.9389,7.8
 LV J2335-3713 ,353.7671,-37.2206,7.8
 IC5332 ,353.6146,-36.1017,7.8
 MCG -04-31-038 ,197.4025,-27.1406,7.8
 ESO496-010 ,132.275,-26.32,7.8
 LV J1030+0607 ,157.6846,6.1272,7.8
 NGC1156 ,44.9267,25.2375,7.8
 LV J0300+2546 ,45.1638,25.7822,7.8
 d1220+4649 ,185.2292,46.8292,7.8
 KK136 ,185.1692,47.0008,7.8
 LV J1217+4703 ,184.2921,47.0636,7.8
 d1219+4705 ,184.9033,47.0925,7.8
 KK134 ,184.8908,47.4517,7.8
 [KKH2011]S11 ,185.1254,47.4903,7.8
 BTS132 ,185.9425,47.6589,7.8
 KK132 ,184.7771,47.7308,7.8
 KK246 ,300.9892,-31.6817,7.83
 NGC4258 ,184.7396,47.3039,7.83
 MAPS1249+44 ,192.3792,44.3592,7.84
 KDG010 ,25.9225,15.6897,7.87
 NGC2337 ,107.5567,44.4569,7.87
 KUG 0937+480 ,145.0817,47.7772,7.88
 MCG -03-34-002 ,196.9858,-16.6892,7.9
 VCC0841 ,186.4458,14.9519,7.9
 NGC3239 ,156.2704,17.1636,7.9
 NGC4136 ,182.3237,29.9275,7.9
 NGC7640 ,350.5275,40.8456,7.9
 UGC7751 ,188.7992,41.0608,7.9
 NGC4618 ,190.3867,41.1508,7.9
 NGC4625 ,190.4696,41.2739,7.9
 UGC12588 ,351.1767,41.3481,7.9
 NGC4242 ,184.3758,45.6194,7.9
 HIPASS J0905-36 ,136.5,-36.06,7.93
 IC4710 ,277.1583,-66.9822,7.94
 ESO495-021 ,129.0633,-26.4094,7.96
 LV J1000+5022 ,150.1062,50.3792,7.97
 PGC013294 ,53.9867,-45.1914,7.98
 NGC3274 ,158.0712,27.6686,7.98
 NGC1800 ,76.6071,-31.9542,8
 DDO153 ,193.4896,-12.1086,8
 KKR08 ,214.8117,3.1239,8
 NGC4204 ,183.81,20.6586,8
 NGC5229 ,203.5121,47.9153,8
 UGCA361 ,203.1508,49.8303,8
 KDG229 ,208.4233,60.0511,8
 KK65 ,115.63,16.5611,8.02
 MRK0036 ,166.2438,29.1394,8.02
 LV J1328+4937 ,202.13,49.6272,8.02
 DDO194 ,218.8525,57.2567,8.02
 KUG 1218+387 ,185.2287,38.4303,8.03
 DDO047 ,115.4792,16.8006,8.05
 NGC4288 ,185.1587,46.2917,8.05
 KKH82 ,198.2446,41.7867,8.06
 NGC5398 ,210.3425,-33.0644,8.1
 NGC3037 ,147.85,-27.0111,8.1
 VCC1822 ,190.0433,6.8469,8.1
 NGC4559 ,188.9904,27.9597,8.1
 DDO131 ,187.9942,29.7097,8.1
 KUG 1033+366B ,159.0733,36.4253,8.1
 KDG155 ,188.2833,-0.5331,8.11
 DDO084 ,160.6746,34.4489,8.11
 KUG 0821+321 ,126.2708,32.0175,8.15
 AM0106-382 ,17.0917,-38.2092,8.2
 VCC0114 ,183.6467,5.6772,8.2
 KDG177 ,189.9938,13.7814,8.2
 KK133 ,184.8867,43.3864,8.23
 UGC04998 ,141.3004,68.3831,8.24
 ESO104-044 ,287.8462,-64.2192,8.3
 [KK2000] 70 ,286.7454,-63.9658,8.3
 NGC6744 ,287.4413,-63.8578,8.3
 [KK2000] 72 ,288.0954,-63.8561,8.3
 [KK2000] 71 ,287.1833,-63.7314,8.3
 ESO373-007 ,143.1892,-33.2456,8.3
 UGC05186 ,145.7492,33.2644,8.3
 ApplesI ,348.7638,-42.5394,8.32
 UGC08882 ,209.3108,54.1008,8.32
 CGCG 217-018 ,198.2158,40.5431,8.33
 ESO558-011 ,106.7367,-22.0406,8.4
 WHI B0619-07 ,95.5575,-7.8378,8.4
 NGC4455 ,187.1838,22.8225,8.4
 NGC5194 ,202.4696,47.2344,8.4
 UGC12894 ,0.0938,39.4956,8.47
 ESO572-034 ,179.7421,-19.03,8.5
 UGCA127sat ,95.2283,-8.6503,8.5
 UGCA127 ,95.2321,-8.4956,8.5
 VCC1725 ,189.4217,8.5592,8.5
 BTS146 ,190.0087,38.0006,8.5
 UGC07827 ,189.9121,44.8208,8.5
 UGC03817 ,110.6854,45.1083,8.55
 AGC122226 ,41.6621,27.7264,8.56
 LSBC D564-08 ,135.725,20.0753,8.67
 NGC6684 ,282.2412,-65.1733,8.7
 MCG-02-33-075 ,194.6179,-10.5769,8.7
 UGC05423 ,151.3775,70.3644,8.71
 IC5201 ,335.2392,-46.0342,8.8
 AM2220-460 ,335.9292,-45.8822,8.8
 NGC1291 ,49.3275,-41.1081,8.8
 ESO300-016 ,47.5438,-40.0031,8.8
 UGC7257 ,183.7625,35.9586,8.8
 BTS157 ,192.8054,47.0708,8.83
 NGC2903 ,143.04,21.5006,8.87
 GR34 ,185.5317,15.7992,8.9
 KDG056 ,142.5538,19.9917,8.9
 UGC05086 ,143.2038,21.465,8.9
 NGC2903-HI-1 ,142.6662,21.7236,8.9
 DDO182 ,205.6358,39.6583,8.9
 KK193 ,198.88,41.5014,8.9
 KK149 ,187.2179,42.1778,8.9
 DDO129 ,187.1842,43.2242,8.9
 UGC07950 ,191.735,51.6131,8.9
 NGC5055 ,198.9554,42.0292,8.99
 Centaurus A-dE5 ,217.5208,-33.4792,9
 DDO148 ,192.1796,-5.2539,9
 KDG098 ,184.6225,28.6458,9
 KDG078 ,172.475,52.4039,9
 KKH73 ,177.5267,55.7833,9
 [CKT2009]d1009+70 ,152.3954,70.5486,9
 DDO013 ,25.04,15.9047,9.04
 LSBC D565-06 ,139.8725,21.6033,9.08
 NGC1592 ,67.42,-27.4086,9.1
 KKSG30 ,189.3996,-8.8672,9.1
 IC3077 ,183.9846,14.4331,9.1
 DDO143 ,191.1046,34.3864,9.1
 NGC0045 ,3.5162,-23.1822,9.2
 UGC07584 ,187.0121,22.5894,9.2
 KK167 ,192.935,26.1106,9.2
 AGC749241 ,190.0071,26.3219,9.2
 AGC731457 ,157.9825,28.0258,9.2
 HS1053+3624 ,164.1683,36.1411,9.2
 VV747 ,164.4458,36.2608,9.2
 LV J1052+3628 ,163.0229,36.4767,9.2
 UGC05983 ,163.0729,36.5933,9.2
 NGC3432 ,163.1296,36.6189,9.2
 LV J1052+3639 ,163.17,36.665,9.2
 MRK0475 ,219.7725,36.8061,9.2
 UGC7719 ,188.5025,39.0194,9.2
 UGC07320 ,184.3688,44.8114,9.2
 NGC1637 ,70.3675,-2.8581,9.29
 NGC0925 ,36.8167,33.5781,9.29
 KKSG33 ,190.0371,-12.3647,9.3
 KKSG34 ,190.3288,-11.9275,9.3
 KKSG32 ,189.9792,-11.7467,9.3
 SUCD1 ,190.0129,-11.6678,9.3
 NGC4594 ,189.9963,-11.6231,9.3
 KKSG31 ,189.6404,-10.4903,9.3
 d0226+3325 ,36.72,33.4269,9.3
 DDO025 ,38.3258,33.4911,9.3
 Halogas ,36.8333,33.9583,9.3
 DDO019 ,36.2508,36.0378,9.3
 DDO022 ,38.225,38.6806,9.3
 UGC02172 ,40.545,43.3553,9.3
 UGC07983 ,192.4458,3.8422,9.4
 IC0559 ,146.1829,9.6153,9.4
 VCC0169 ,183.9842,9.6492,9.4
 KDG104 ,185.3663,15.0244,9.4
 LSBC D634-03 ,137.2229,14.5819,9.55
 NGC4460 ,187.1908,44.8644,9.59
 CGCG 014-054 ,187.7658,1.6758,9.6
 VCC0565 ,185.6604,6.0144,9.6
 UGC00064 ,1.9333,40.8756,9.6
 NGC3115 ,151.3083,-7.7186,9.68
 KKSG16 ,149.9479,-9.3433,9.7
 KKSG17 ,150.41,-8.2489,9.7
 KKSG18 ,151.4233,-7.9814,9.7
 KDG065 ,151.3933,-7.7492,9.7
 MCG -01-26-009 ,150.39,-6.525,9.7
 KKSG15 ,148.7937,-6.27,9.7
 UGCA193 ,150.6508,-6.0119,9.7
 NGC4517 ,188.1896,0.115,9.7
 NGC4765 ,193.31,4.4631,9.7
 UGC7427 ,185.4792,35.0514,9.7
 DDO217 ,352.4946,40.9903,9.7
 NGC0855 ,33.5154,27.8772,9.73
 NGC0891 ,35.6367,42.3467,9.77
 IC4951 ,302.3825,-61.8506,9.8
 ESO300-014 ,47.4075,-41.0306,9.8
 KK73 ,138.1221,-24.2411,9.8
 NGC2784 dw01 ,138.0771,-24.2111,9.8
 KK72 ,137.9263,-23.9822,9.8
 KK71 ,137.2954,-23.3678,9.8
 DDO056 ,137.4442,-23.0092,9.8
 IC3591 ,189.2625,6.9267,9.8
 VCC2033 ,191.5188,8.4764,9.8
 DDO068 ,149.1904,28.825,9.8
 NGC4534 ,188.5229,35.5183,9.8
 DDO024 ,38.4292,40.5281,9.8
 NGC2784 ,138.0808,-24.1717,9.82
 ESO273-014 ,224.6262,-47.6986,9.9
 NGC0024 ,2.485,-24.9633,9.9
 ESO473-024 ,7.8438,-22.7658,9.9
 IC2171 ,101.1137,-17.9325,9.9
 UGCA294 ,191.1587,28.4725,9.9
 DDO092 ,168.3587,53.595,9.9
 NGC3556 ,167.8792,55.6739,9.9
 NGC1744 ,74.9925,-26.0267,10
 ESO486-021 ,75.8321,-25.4231,10
 NGC2283 ,101.4696,-18.2103,10
 KKSG9 ,101.7371,-17.9414,10
 LV J1235-1104 ,188.9142,-11.0672,10
 KDG058 ,145.1125,0.0425,10
 KKH67 ,170.7646,21.3269,10
 KKH65 ,162.9963,28.3625,10
 BTS142 ,188.2808,38.1161,10
 KK227 ,209.0421,40.3033,10
 KK194 ,199.3313,44.3967,10
 NGC3351 ,160.9904,11.7036,10.05
 NGC7462 ,345.6967,-40.835,10.1
 NGC4597 ,190.0538,-5.7992,10.1
 NGC4509 ,188.2783,32.0917,10.1
 NGC3627 ,170.0625,12.9914,10.28
 DDO052 ,127.1188,41.8567,10.28
 HIPASS J0916-23b ,139.2417,-23.2797,10.3
 NGC2835 ,139.4704,-22.3553,10.3
 IC2791 ,170.9067,12.8958,10.3
 AGC213436 ,170.6,12.9794,10.3
 IC2684 ,169.2542,13.0997,10.3
 IC2787 ,170.8296,13.6297,10.3
 NGC3990 ,179.3983,55.4586,10.3
 KKSG38 ,193.3817,-5.9278,10.4
 LeG03 ,158.9533,8.4797,10.4
 UGC06014 ,163.4279,9.7281,10.4
 LeG28 ,163.2529,10.3792,10.4
 AGC200499 ,159.5333,10.3808,10.4
 AGC202456 ,163.0813,11.0433,10.4
 LeG22 ,162.4046,11.3517,10.4
 AGC202248 ,158.7337,11.4922,10.4
 LeG12 ,161.0325,11.5331,10.4
 CGCG 066-109 ,166.1104,11.755,10.4
 LeG16 ,161.625,11.7558,10.4
 LeG13 ,161.24,11.9161,10.4
 LSBC D640-14 ,164.5437,11.9992,10.4
 LSBC D640-13 ,164.0583,12.0103,10.4
 LeG10 ,160.9808,12.1353,10.4
 LeG09 ,160.6442,12.1506,10.4
 LeG17 ,161.6729,12.3264,10.4
 FS04 ,160.5012,12.335,10.4
 LSBC D640-12 ,163.9879,12.3389,10.4
 KK96 ,162.6129,12.3608,10.4
 UGC05812 ,160.2358,12.4719,10.4
 LeG05 ,159.9304,12.6344,10.4
 NGC3299 ,159.0992,12.7075,10.4
 LeG04 ,159.9175,12.735,10.4
 LeG18 ,161.7221,12.7444,10.4
 LeG19 ,161.7283,12.7881,10.4
 LeG26 ,162.8379,12.8492,10.4
 LeG21 ,161.7533,12.9597,10.4
 LeG14 ,161.56,12.96,10.4
 KK94 ,161.7388,12.9983,10.4
 NGC3412 ,162.7221,13.4122,10.4
 LeG23 ,162.5379,13.4836,10.4
 AGC205268 ,160.7183,13.7411,10.4
 LSBC D640-08 ,165.2171,13.8808,10.4
 LeG06 ,159.9821,13.9078,10.4
 AGC205445 ,161.1471,13.9397,10.4
 KK93 ,161.6033,14.025,10.4
 AGC205540 ,162.8808,14.1147,10.4
 AGC205278 ,164.7171,14.1294,10.4
 LeG33 ,165.1883,14.1722,10.4
 LeG27 ,163.0838,14.7072,10.4
 AGC205544 ,163.02,15.0306,10.4
 AGC205165 ,159.27,15.3375,10.4
 LeG11 ,161.0087,15.5889,10.4
 AGC198508 ,140.7375,24.9467,10.4
 NGC3368 ,161.6908,11.8197,10.42
 AGC215354 ,169.8162,14.2903,10.42
 AGC205156 ,157.7204,12.4467,10.43
 DDO123 ,186.5337,58.3225,10.5
 UGC07512 ,186.4221,2.1589,10.6
 KDG235 ,255.1054,70.29,10.6
 UGC06145 ,166.3958,-1.8636,10.7
 KKSG22 ,166.5321,-1.4486,10.7
 NGC3521 ,166.4525,-0.0358,10.7
 KKSG20 ,166.1692,0.0583,10.7
 NGC3521sat ,166.4196,0.1208,10.7
 CGMW1-260 ,99.5004,-15.0228,10.8
 NGC3593 ,168.6496,12.8186,10.8
 DDO083 ,159.1804,31.5467,10.9
 NGC3377 ,161.9267,13.9856,10.91
 AGC202256 ,168.6875,12.6475,11
 UGCA298 ,191.7308,26.5642,11
 UGC05944 ,162.5796,13.2719,11.07
 LV J1018+4109 ,154.5925,41.1658,11.1
 NGC3379 ,161.9567,12.5817,11.12
 KUG 1013+414 ,154.065,41.1664,11.12
 NGC3184 ,154.5708,41.4244,11.12
 UGC07690 ,188.1121,42.7042,11.2
 NGC3384 ,162.0704,12.6292,11.38
 UGC05672 ,157.0871,22.5714,11.4
 ESO348-009 ,357.3475,-37.7736,11.5
 MAPS1236+33 ,189.2058,33.6133,11.7
 NGC3413 ,162.8363,32.7664,12.02
 NGC3489 ,165.0775,13.9011,12.08
 UGC12713 ,354.5604,30.7092,12.2
 IC2233 ,123.4954,45.7422,12.2
 NGC2537 ,123.3113,45.9906,12.2
 NGC2541 ,123.6671,49.0617,12.4
 NGC2552 ,124.8354,50.0097,12.4
 NGC2500 ,120.4717,50.7372,12.4
 LV J0812+4836 ,123.1646,48.6125,12.42
 IC2992 ,181.3162,30.8556,12.7
 IC3308 ,186.3246,26.7147,12.8
 UGC07267 ,183.8483,51.35,12.9
 CGCG 035-007 ,143.6871,6.4256,13
 AGC731448 ,155.9375,27.1108,13.5
 DDO097 ,177.2383,23.8378,13.74
 NGC4150 ,182.64,30.4017,13.74
 IC3341 ,186.5975,27.7456,14
 NGC4308 ,185.4871,30.0742,14
 UGC07699 ,188.2,37.6217,14.5
 RKK1610 ,146.3533,-48.1414,14.9
 AGC191803 ,147.0246,7.1292,14.9
 NGC4080 ,181.2158,26.9925,15
 UGC04704 ,134.7512,39.21,15.2
 ESO499-038 ,150.9592,-26.6128,15.3
 UGC08030 ,193.6225,26.305,15.3
 LV J0954+3620 ,148.7108,36.3339,15.4
 UGC03501 ,99.66,49.2583,15.5
 LV J0737+4724 ,114.3688,47.4092,15.7
 NGC3104 ,150.9892,40.7569,16
 UGC06881 ,178.6863,20.0556,16.4
 KDG082 ,178.9142,31.5194,16.6
 IC 779 ,184.9112,29.8833,16.67
 UGC07131 ,182.2992,30.9067,16.8
 UGC7321 ,184.3917,22.5403,17.2
 ESO495-008 ,125.2529,-23.7814,17.3
 KK127 ,183.3446,29.9217,17.3
 AGC229053 ,184.5646,25.5683,17.9
 KKH58 ,151.8446,38.9697,18.4
 DDO062 ,140.3646,-22.5006,18.6
 UGC07271 ,183.8892,43.4342,18.6
 ESO497-004 ,135.7629,-23.8083,19
 IC2038 ,62.2254,-55.9922,19.2
 KKH38 ,101.9788,47.5139,19.3
 NGC1533 ,62.4658,-56.1183,19.4
 AGC749236 ,186.4267,26.81,19.5
 UGC05047 ,142.2067,51.5606,19.68
 LV J0926+3343 ,141.5392,33.7178,19.7
 KISSB023 ,145.0529,29.5914,19.8
 UGC03475 ,97.62,39.5039,20
 UGC04787 ,136.8954,33.2767,20.3
 UGC07990 ,192.6133,28.3528,20.4
 UGC04932 ,139.8921,51.1092,20.6
 AGC208399 ,160.0446,4.9089,20.9
 AGC749315 ,157.2767,26.9106,21.5
 AGC198507 ,138.8575,25.4194,21.7
 UGCA153 ,138.3004,-19.4086,21.9
 UGC05923 ,162.2817,6.9172,22.3
 UGC07774 ,189.0938,40.0053,22.6
 KUG 1157+315 ,180.0675,31.225,23.2
 FGC1497 ,191.7525,32.6514,23.4
 IC3247 ,185.8083,28.8939,24.4
 NGC1400 ,54.8783,-18.6881,24.5
 AGC208397 ,159.7421,3.8742,26.2
